fullname,part_of
Handleyomys intectus,Mammalia
Graomys centralis,Mammalia
Handleyomys fuscatus,Mammalia
Deltamys kempi,Mammalia
Chibchanomys orcesi,Mammalia
Chelemys delfini,Mammalia
Calomys venustus,Mammalia
Phyllotis limatus,Mammalia
Calomys expulsus,Mammalia
Calomys tocantinsi,Mammalia
Brucepattersonius paradisus,Mammalia
Brucepattersonius soricinus,Mammalia
Brucepattersonius misionensis,Mammalia
Brucepattersonius iheringi,Mammalia
Brucepattersonius igniventris,Mammalia
Brucepattersonius guarani,Mammalia
Andalgalomys roigi,Mammalia
Brucepattersonius griserufescens,Mammalia
Akodon reigi,Mammalia
Amphinectomys savamis,Mammalia
Akodon pervalens,Mammalia
Akodon paranaensis,Mammalia
Akodon mystax,Mammalia
Akodon montensis,Mammalia
Akodon lutescens,Mammalia
Aepeomys reigi,Mammalia
Abrothrix sanborni,Mammalia
Abrothrix olivaceus,Mammalia
Abrothrix markhami,Mammalia
Abrothrix longipilis,Mammalia
Abrothrix lanosus,Mammalia
Abrothrix jelskii,Mammalia
Abrothrix illuteus,Mammalia
Abrothrix hershkovitzi,Mammalia
Abrothrix andinus,Mammalia
Peromyscus sagax,Mammalia
Peromyscus hylocetes,Mammalia
Peromyscus beatae,Mammalia
Peromyscus fraterculus,Mammalia
Neotoma macrotis,Mammalia
Neotoma leucodon,Mammalia
Habromys ixtlani,Mammalia
Habromys delicatulus,Mammalia
Neodon sikimensis,Mammalia
Neodon forresti,Mammalia
Neodon irene,Mammalia
Myodes smithii,Mammalia
Myodes shanseius,Mammalia
Myodes rutilus,Mammalia
Myodes rufocanus,Mammalia
Myodes rex,Mammalia
Myodes imaizumii,Mammalia
Myodes regulus,Mammalia
Myodes glareolus,Mammalia
Myodes gapperi,Mammalia
Myodes californicus,Mammalia
Myodes centralis,Mammalia
Microtus schidlovskii,Mammalia
Myodes andersoni,Mammalia
Microtus qazvinensis,Mammalia
Microtus paradoxus,Mammalia
Microtus liechtensteini,Mammalia
Microtus kikuchii,Mammalia
Microtus levis,Mammalia
Microtus ilaeus,Mammalia
Microtus dogramacii,Mammalia
Microtus clarkei,Mammalia
Microtus anatolicus,Mammalia
Microtus brachycercus,Mammalia
Lemmus portenkoi,Mammalia
Eothenomys miletus,Mammalia
Eothenomys wardi,Mammalia
Caryomys inez,Mammalia
Eothenomys cachinus,Mammalia
Blanfordimys bucharensis,Mammalia
Caryomys eva,Mammalia
Arvicola amphibius,Mammalia
Alticola olchonensis,Mammalia
Arvicola scherman,Mammalia
Alticola albicaudus,Mammalia
Voalavo gymnocaudus,Mammalia
